x,y,time
679174.1925,5134720.693,784
678705.1148,5135327.537,785
677896.7255,5133917.549,786
678407.1263,5134047.436,787
679175.6919,5134729.646,788
678834.8629,5134650.482,789
679140.1065,5134760.84,790
678651.1757,5137045.296,791
678869.1481,5137982.428,792
679154.507,5134730.72,793
678494.8739,5135905.513,794
678557.7427,5137166.849,795
679050.7253,5135002.984,796
679629.2356,5134632.708,797
679158.1529,5134287.098,798
679103.6971,5134420.397,799
679089.868,5134411.082,800
679097.3994,5134394.759,801
679102.3705,5134385.572,802
679093.0528,5134402.691,803
679086.5322,5134404.621,804
679094.0152,5134409.931,805
679088.9928,5134400.875,806
679093.0528,5134402.691,807
679109.042,5134398.495,808
679117.299,5134397.465,809
679092.0156,5134397.994,810
679093.1774,5134398.453,811
679093.2412,5134416.272,812
679088.6315,5134413.167,813
679083.8847,5134414.724,814
679080.5863,5134406.991,815
679091.8163,5134404.776,816
679191.9931,5134734.792,817
679203.3597,5134727.915,818
679188.8582,5134741.487,819
679185.1725,5134726.955,820
677915.388,5133278.386,821
679179.1271,5134732.717,822
678154.1037,5136890.311,823
679027.0509,5134309.121,824
679023.9408,5134314.968,825
679030.1474,5136262.298,826
678884.857,5135748.969,827
679057.4224,5134515.333,828
679003.4164,5134313.517,829
679152.4633,5134600.426,830
679302.6869,5135565.271,831
679174.1426,5134722.389,832
678808.9265,5136033.933,833
679074.9156,5135758.798,834
678690.07,5137421.02,835
678058.259,5135849.459,836
678069.7819,5134571.223,837
678554.3287,5137543.452,838
678530.2068,5135922.669,839
679175.667,5134730.494,840
678418.5053,5135825.22,841
678955.9402,5136788.265,842
677995.3442,5136413.943,843
679067.1045,5134365.87,844
679067.729,5134364.616,845
679068.7662,5134369.313,846
679067.1917,5134362.903,847
679063.0072,5134365.325,848
679070.7643,5134361.311,849
679071.8139,5134365.584,850
679067.1668,5134363.751,851
679065.9054,5134366.683,852
679064.781,5134364.953,853
679067.6543,5134367.159,854
679073.5379,5134366.908,855
679068.6915,5134371.856,856
679070.4902,5134370.636,857
679063.3326,5134374.244,858
679065.6811,5134374.313,859
679068.2289,5134367.6,860
679068.204,5134368.448,861
679066.9675,5134370.532,862
679073.8494,5134356.311,863
679068.1247,5134311.176,864
679068.1496,5134310.329,865
679069.3238,5134310.363,866
679063.7158,5134321.228,867
677808.8015,5135117.618,868
676900.3114,5135790.254,869
678792.3137,5136259.551,870
678586.5425,5134442.12,871
679232.1501,5136125.281,872
678813.7372,5135930.141,873
679054.1753,5133906.066,874
679043.2147,5134298.99,875
677958.1996,5134146.721,876
677950.2521,5134137.157,877
677954.912,5134138.565,878
679142.2933,5134566.613,879
679576.3205,5134773.261,880
678966.8339,5134658.601,881
678927.1918,5134327.822,882
678926.0674,5134326.092,883
678927.7416,5134329.111,884
679034.5783,5134712.77,885
677342.4947,5133354.588,886
678517.0296,5135911.253,887
679423.7717,5135902.272,888
678152.7466,5135069.552,889
677575.2749,5134844.825,890
677604.8941,5134856.718,891
679614.8204,5134643.313,892
679614.8454,5134642.465,893
679614.4333,5134636.514,894
679617.0816,5134626.411,895
679624.1018,5134627.466,896
679618.0808,5134632.38,897
679625.251,5134628.349,898
679617.8055,5134661.642,899
679615.9824,5134623.833,900
679613.4712,5134649.212,901
679616.3324,5134611.966,902
679611.4478,5134638.123,903
679612.1099,5134635.597,904
679611.5103,5134636.004,905
679610.8107,5134639.801,906
679616.7563,5134657.369,907
679610.2986,5134637.241,908
679613.2591,5134636.48,909
679611.6228,5134632.189,910
679610.9232,5134635.986,911
679134.3378,5134797.153,912
679211.7064,5134783.733,913
679194.9679,5134773.483,914
679215.5434,5134833.054,915
679213.1194,5134815.59,916
677818.7482,5132864.083,917
677671.645,5134320.767,918
678038.3299,5133475.841,919
677920.6281,5134165.562,920
677936.4313,5134167.72,921
677857.9959,5133512.996,922
679404.9284,5134068.678,923
678889.8343,5135539.553,924
678150.7064,5133672.566,925
677845.6837,5133491.85,926
679417.4087,5134762.214,927
678715.0613,5133927.076,928
676855.3852,5133594.106,929
677787.0402,5133245.794,930
676858,5134333.996,931
678418.0643,5136762.294,932
679677.6634,5134684.194,933
679689.4052,5134684.541,934
679661.0123,5134690.915,935
679613.3466,5134633.513,936
679615.77,5134631.039,937
679602.8536,5134650.596,938
679617.1441,5134624.292,939
679603.0785,5134642.967,940
679619.9546,5134628.617,941
679606.7261,5134638.832,942
